Category: Objects__cooking-pots, Train: 85, Test: 22
Category: Objects__cooking-utensils, Train: 200, Test: 50
Category: Objects__cups, Train: 219, Test: 55
Category: Objects__cutlery, Train: 207, Test: 52
Category: Objects__diapers, Train: 53, Test: 14
Category: Objects__dish-brushes, Train: 235, Test: 59
Category: Objects__dish-racks, Train: 241, Test: 61
Category: Objects__dish-washing-soaps, Train: 227, Test: 57
Category: Objects__dishwashers, Train: 35, Test: 9
Category: Objects__earings, Train: 73, Test: 19
Category: Objects__family-snapshots, Train: 60, Test: 15
Category: Objects__freezers, Train: 124, Test: 32
Category: Objects__front-doors, Train: 256, Test: 65
Category: Objects__frontdoor-keys, Train: 82, Test: 21
Category: Objects__fruit-trees, Train: 64, Test: 16
Category: Objects__fruits, Train: 140, Test: 36
Category: Objects__goats, Train: 16, Test: 5
Category: Objects__grains, Train: 220, Test: 56
Category: Objects__guest-beds, Train: 192, Test: 49
Category: Objects__hair-brushes, Train: 218, Test: 55
Category: Objects__homes, Train: 261, Test: 66
Category: Objects__instruments, Train: 43, Test: 11
Category: Objects__jackets, Train: 24, Test: 6
Category: Objects__jewelry, Train: 114, Test: 29
Category: Objects__kids-bed, Train: 205, Test: 52
Category: Objects__kitchen-sinks, Train: 233, Test: 59
Category: Objects__light-sources, Train: 116, Test: 29
Category: Objects__light-sources-in-livingroom, Train: 200, Test: 50
Category: Objects__light-sources-kitchen, Train: 205, Test: 52
Category: Objects__lightsources-by-bed,-reading-light, Train: 56, Test: 15
Category: Objects__lock-on-front-doors, Train: 240, Test: 61
Category: Objects__make-up, Train: 70, Test: 18
Category: Objects__meat, Train: 133, Test: 34
Category: Objects__medication, Train: 189, Test: 48
Category: Objects__menstruation-pads, Train: 76, Test: 20
Category: Objects__mosquito-protections, Train: 109, Test: 28
Category: Objects__motorcycles, Train: 52, Test: 13
Category: Objects__music-equipment, Train: 111, Test: 28
Category: Objects__necklaces, Train: 68, Test: 18
Category: Objects__nicest-shoes, Train: 236, Test: 60
Category: Objects__ovens, Train: 96, Test: 24
Category: Objects__palms, Train: 239, Test: 60
Category: Objects__papers, Train: 140, Test: 35
Category: Objects__pet-foods, Train: 40, Test: 11
Category: Objects__pets, Train: 120, Test: 30
Category: Objects__phones, Train: 219, Test: 55
Category: Objects__plates, Train: 227, Test: 57
Category: Objects__plates-of-food, Train: 195, Test: 49
Category: Objects__power-outlets, Train: 195, Test: 49
Category: Objects__power-switches, Train: 192, Test: 49
Category: Objects__radios, Train: 106, Test: 27
Category: Objects__refrigerators, Train: 168, Test: 43
Category: Objects__roofs, Train: 203, Test: 51
Category: Objects__rugs, Train: 125, Test: 32
Category: Objects__salt, Train: 222, Test: 56
Category: Objects__shampoo, Train: 238, Test: 60
Category: Objects__showers, Train: 221, Test: 56
Category: Objects__soaps, Train: 244, Test: 62
Category: Objects__social-drinks, Train: 188, Test: 47
Category: Objects__sofas, Train: 205, Test: 52
Category: Objects__spices, Train: 241, Test: 61
Category: Objects__stoves, Train: 257, Test: 65
Category: Objects__teeth, Train: 221, Test: 56
Category: Objects__toilet-paper, Train: 206, Test: 52
Category: Objects__toilets, Train: 231, Test: 58
Category: Objects__tools, Train: 176, Test: 44
Category: Objects__tooth-paste, Train: 233, Test: 59
Category: Objects__toys, Train: 201, Test: 51
Category: Objects__trash, Train: 198, Test: 50
Category: Objects__tvs, Train: 192, Test: 48
Category: Objects__vegetables, Train: 192, Test: 49
Category: Objects__wall-clocks, Train: 124, Test: 31
Category: Objects__wardrobes, Train: 244, Test: 62
Category: Objects__washing-detergent, Train: 207, Test: 52
Category: Objects__water-outlets, Train: 200, Test: 51
Category: Objects__wheel-barrows, Train: 31, Test: 8
Category: Objects__wrist-watches, Train: 76, Test: 20
Category: Places__agriculture-land, Train: 35, Test: 9
Category: Places__backyards, Train: 147, Test: 37
Category: Places__bathrooms, Train: 236, Test: 59
Category: Places__bedrooms, Train: 260, Test: 65
Category: Places__ceilings, Train: 240, Test: 61
Category: Places__child-rooms, Train: 191, Test: 48
Category: Places__drying-clothes, Train: 185, Test: 47
Category: Places__floors, Train: 251, Test: 63
Category: Places__hallways, Train: 44, Test: 12
Category: Places__kitchens, Train: 220, Test: 56
Category: Places__living-rooms, Train: 188, Test: 48
Category: Places__parking-lots, Train: 80, Test: 20
Category: Places__places-for-dinner, Train: 252, Test: 64
Category: Places__places-where-guests-are-served-dinner, Train: 174, Test: 44
Category: Places__play-areas, Train: 144, Test: 36
Category: Places__sitting-areas, Train: 192, Test: 48
Category: Places__steam-exits, Train: 151, Test: 38
Category: Places__storage-rooms, Train: 162, Test: 41
Category: Places__street-view, Train: 238, Test: 60
Category: Places__vegetable-plots, Train: 44, Test: 12
Category: Places__walls, Train: 182, Test: 46
Category: Places__walls-inside, Train: 239, Test: 60
Category: Places__waste-dumps, Train: 54, Test: 14
Category: Places__work-areas, Train: 112, Test: 28
Category: Places__worship-places, Train: 37, Test: 10
